"﻿""Date""",Price,Open,High,Low,Vol.,Change %
01/10/2019,258.88,256.26,259.16,255.50,96.82M,0.35%
01/09/2019,257.97,257.56,258.91,256.19,95.01M,0.47%
01/08/2019,256.77,256.82,257.31,254.00,102.51M,0.94%
01/07/2019,254.38,252.69,255.95,251.69,103.14M,0.79%
01/04/2019,252.39,247.59,253.11,247.17,142.63M,3.35%
01/03/2019,244.21,248.23,248.57,243.67,144.14M,-2.39%
01/02/2019,250.18,245.98,251.21,245.95,126.93M,0.10%
12/31/2018,249.92,249.56,250.19,247.47,144.30M,0.88%
12/28/2018,247.75,249.58,251.40,246.45,153.10M,-0.13%
12/27/2018,248.07,242.57,248.29,238.96,186.27M,0.77%
12/26/2018,246.18,235.97,246.18,233.76,218.49M,5.05%
12/24/2018,234.34,239.04,240.84,234.27,147.31M,-2.64%
12/21/2018,240.70,246.74,249.71,239.98,255.35M,-2.62%
12/20/2018,247.17,249.86,251.62,244.65,252.05M,-1.63%
12/19/2018,251.26,255.17,259.40,249.35,214.99M,-1.50%
12/18/2018,255.08,257.20,257.95,253.28,134.52M,-0.11%
12/17/2018,255.36,259.40,260.65,253.53,165.49M,-1.96%
12/14/2018,260.47,262.96,264.03,259.85,116.96M,-1.85%
12/13/2018,265.37,266.52,267.49,264.12,96.66M,-0.03%
12/12/2018,265.46,267.47,269.00,265.37,97.98M,0.50%
12/11/2018,264.13,267.66,267.87,262.48,121.50M,0.02%
12/10/2018,264.07,263.37,265.16,258.62,151.45M,0.19%
12/07/2018,263.57,269.46,271.22,262.63,161.02M,-2.32%
12/06/2018,269.84,265.92,269.97,262.44,204.19M,-0.15%
12/04/2018,270.25,278.37,278.85,269.90,177.99M,-3.24%
12/03/2018,279.30,280.28,280.40,277.50,103.02M,1.32%
11/30/2018,275.65,273.81,276.28,273.45,98.20M,0.61%
11/29/2018,273.98,273.71,275.55,272.43,82.35M,-0.22%
11/28/2018,274.58,269.60,274.58,268.33,127.63M,2.30%
11/27/2018,268.40,266.34,268.40,265.66,75.50M,0.34%
11/26/2018,267.50,265.78,267.75,265.34,79.98M,1.61%
11/23/2018,263.25,263.18,264.82,263.07,42.81M,-0.67%
11/21/2018,265.02,265.86,267.15,265.01,75.56M,0.34%
11/20/2018,264.12,265.36,267.00,263.15,136.02M,-1.85%
11/19/2018,269.10,273.05,273.38,268.07,103.06M,-1.69%
11/16/2018,273.73,271.79,274.75,271.21,126.67M,0.26%
11/15/2018,273.02,268.78,273.54,267.01,135.10M,1.04%
